[2023-05-08 18:01:32,565] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,572] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,582] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,592] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,599] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,608] INFO [Broker id=0] Leader test11-0 with topic id Some(jZNkrWUORwOf6pLL_TEw7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,617] INFO [Broker id=0] Leader greeting-0 with topic id Some(92VQ2whtQbCnvqx-KVBGAw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,627] INFO [Broker id=0] Leader test10-0 with topic id Some(tLMLSe08SamccAimsiU-YQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,637] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,647] INFO [Broker id=0] Leader partitioned-0 with topic id Some(A-PaCxxkRKuy0MVqtLUARw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,656] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,667] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,678] INFO [Broker id=0] Leader test2-0 with topic id Some(VNmBG5cUQ26qfg-K-P3bew) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,687] INFO [Broker id=0] Leader first_topics-0 with topic id Some(uvcs1kr4QrCv5t040zy59g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,698] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,709] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,720] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,731] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,742] INFO [Broker id=0] Leader partitioned-1 with topic id Some(A-PaCxxkRKuy0MVqtLUARw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,751] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
